Code,Borough,Designation,Population,Unemployment rate %,Gross Annual Pay,Crime rates per thousand,Ambulance incidents per hundred,Transport accessibility score
E09000002,Barking and Dagenham,Outer London,209000,11,27886,83.4,13.7,3
E09000003,Barnet,Outer London,389600,8.5,33443,62.7,11.1,3
E09000004,Bexley,Outer London,244300,7.6,34350,51.8,11.8,2.6
E09000005,Brent,Outer London,332100,7.5,29812,78.8,12.1,3.7
E09000006,Bromley,Outer London,327900,5.3,37682,64.1,11.2,2.8
E09000007,Camden,Inner London,242500,4,39796,123.5,14.8,5.7
E09000008,Croydon,Outer London,386500,4.1,32696,77,12.8,3.2
E09000009,Ealing,Outer London,351600,5.8,31331,75.5,11.3,3.3
E09000010,Enfield,Outer London,333000,3.8,31603,69.4,12.2,3
E09000011,Greenwich,Inner London,280100,8.1,32415,79.4,11.9,3.4
E09000012,Hackney,Inner London,274300,5.9,32056,99.6,11.5,4.9
E09000013,Hammersmith and Fulham,Inner London,185300,4.7,38041,113.2,12.2,4.7
E09000014,Haringey,Outer London,278000,5.7,31063,90.2,12.3,4.3
E09000015,Harrow,Outer London,252300,4.6,33202,50.4,9.8,2.9
E09000016,Havering,Outer London,254300,5.3,33398,62.9,12.9,2.5
E09000017,Hillingdon,Outer London,301000,5.8,33508,76.6,14.7,2.4
E09000018,Hounslow,Outer London,274200,4.3,31001,79.2,12.1,3
E09000019,Islington,Inner London,231200,4.5,36592,121.2,13.9,5.7
E09000020,Kensington and Chelsea,Inner London,159000,4.2,55620,120.9,12.7,5.8
E09000021,Kingston upon Thames,Outer London,175400,4.5,37979,58.5,11.1,2.9
E09000022,Lambeth,Inner London,328900,5.9,33441,104.6,13.3,5
E09000023,Lewisham,Inner London,303400,5.7,33157,77,12,4.1
E09000024,Merton,Outer London,208100,4.6,33989,59.7,10.4,3.4
E09000025,Newham,Inner London,342900,9.1,27942,90.8,12.2,3.9
E09000026,Redbridge,Outer London,304200,7.9,33483,69.7,11.3,3
E09000027,Richmond upon Thames,Outer London,197300,3.8,42076,56.3,9.7,3.1
E09000028,Southwark,Inner London,314300,7.7,33864,100.6,13.6,4.9
E09000029,Sutton,Outer London,202600,5.5,32697,55.9,11.3,2.9
E09000030,Tower Hamlets,Inner London,304000,9.2,36429,99.9,11.8,5
E09000031,Waltham Forest,Outer London,276200,5.4,30859,78,11.7,3.6
E09000032,Wandsworth,Inner London,321000,5.7,41064,72.6,10.1,4.3
E09000033,Westminster,Inner London,242100,8.8,42141,212.4,19.9,6.5
