Code,Area,Population,Net international migration  ,Employment rate  ,Unemployment rate ,Crime rates per thousand  
E09000007,Camden,242500,7504,69.2,4,123.4987093
E09000012,Hackney,274300,3359,69,5.9,99.64682433
E09000013,Hammersmith and Fulham,185300,2926,77.5,4.7,113.2271875
E09000014,Haringey,278000,6675,71.3,5.7,90.21360285
E09000019,Islington,231200,6295,72.6,4.5,121.2239239
E09000020,Kensington and Chelsea,159000,2234,68.2,4.2,120.9044051
E09000022,Lambeth,328900,4598,78.5,5.9,104.6231885
E09000023,Lewisham,303400,3683,75.9,5.7,76.97952338
E09000025,Newham,342900,11182,66.2,9.1,90.81881801
E09000028,Southwark,314300,5497,74.2,7.7,100.6352525
E09000030,Tower Hamlets,304000,10532,70.4,9.2,99.87540767
E09000032,Wandsworth,321000,1296,78.8,5.7,72.55986809
E09000033,Westminster,242100,10763,65.6,8.8,212.4130999
